district,building_id,school_name,borough,program_category
"01","M140","P.S. 140","M","Classroom Connectivity"
"01","M140","P.S. 140","M","New/Retrofit Telephone/Intercom System"
"01","M142","P.S. 142","M","Classroom Connectivity"
"01","M142","P.S. 142","M","Classroom Connectivity"
"01","M142","P.S. 142","M","IP Digital Video Surveillance"
"01","M188","P.S. 188","M","Classroom Connectivity"
"01","M188","P.S. 188","M","Classroom Connectivity"
"01","M188","P.S. 188","M","New/Retrofit Telephone/Intercom System"
"01","M188","P.S. 188","M","Parapets"
"01","M188","P.S. 188","M","Roofs"
"01","M188","P.S. 188","M","Room Conversions/Partitioning"
"01","M188","P.S. 188","M","Technology"
"01","M188","P.S. 188","M","Technology"
"01","M188","P.S. 188","M","Windows"
"02","M001","P.S. 1","M","Classroom Connectivity"
"02","M001","P.S. 1","M","Domestic Piping"
"02","M001","P.S. 1","M","Electrical Systems"
"02","M001","P.S. 1","M","Library Upgrades"
"02","M001","P.S. 1","M","Low-Voltage Electrical Systems"
"02","M001","P.S. 1","M","New/Retrofit Telephone/Intercom System"
"02","M002","P.S. 2","M","Classroom Connectivity"
"02","M002","P.S. 2","M","Classroom Connectivity"
"02","M003","P.S. 3","M","Classroom Connectivity"
"02","M003","P.S. 3","M","Classroom Connectivity"
"02","M003","P.S. 3","M","Exterior Masonry"
"02","M003","P.S. 3","M","Roofs"
"02","M003","P.S. 3","M","Windows"
"02","M006","P.S. 6","M","Classroom Connectivity"
"02","M006","P.S. 6","M","Domestic Piping"
"02","M011","P.S. 11","M","Classroom Connectivity"
"02","M011","P.S. 11","M","Classroom Connectivity"
"02","M011","P.S. 11","M","IP Digital Video Surveillance"
"02","M011","P.S. 11","M","Low-Voltage Electrical Systems"
"02","M011","P.S. 11","M","New/Retrofit Telephone/Intercom System"
"02","M011","P.S. 11","M","Swimming Pool"
"02","M017","I.S. 17","M","Classroom Connectivity"
"02","M017","I.S. 17","M","Classroom Connectivity"
"02","M017","I.S. 17","M","Exterior Masonry"
"02","M017","I.S. 17","M","Roofs"
"02","M033","P.S. 33","M","Classroom Connectivity"
"02","M033","P.S. 33","M","Lighting Fixtures"
"02","M033","P.S. 33","M","New/Retrofit Telephone/Intercom System"
"02","M040","P.S. 40","M","Classroom Connectivity"
"02","M040","P.S. 40","M","Classroom Connectivity"
"02","M040","P.S. 40","M","Classroom Connectivity"
"02","M040","P.S. 40","M","Classroom Connectivity"
"02","M040","P.S. 40","M","Flood Elimination"
"02","M040","P.S. 40","M","IP Digital Video Surveillance"
"02","M040","P.S. 40","M","New/Retrofit Telephone/Intercom System"
"02","M040","P.S. 40","M","Parapets"
"02","M040","P.S. 40","M","Roofs"
"02","M041","P.S. 41","M","Auditorium Upgrade"
"02","M041","P.S. 41","M","Classroom Connectivity"
"02","M041","P.S. 41","M","Classroom Connectivity"
"02","M041","P.S. 41","M","Electrical Systems"
"02","M041","P.S. 41","M","Exterior Masonry"
"02","M041","P.S. 41","M","Lighting Fixtures"
"02","M041","P.S. 41","M","New/Retrofit Telephone/Intercom System"
"02","M041","P.S. 41","M","Parapets"
"02","M041","P.S. 41","M","Windows"
"02","M042","P.S. 42","M","Classroom Connectivity"
"02","M042","P.S. 42","M","Lighting Fixtures"
"02","M042","P.S. 42","M","Lighting Fixtures"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Auditorium Upgrade"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Classroom Connectivity"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Emergency Stabilization"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Room Conversions/Partitioning"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","School Improvement and Restructuring"
"02","M051","P.S. 51","M","Classroom Connectivity"
"02","M051","P.S. 51","M","IP Digital Video Surveillance"
"02","M051","P.S. 51","M","New/Retrofit Telephone/Intercom System"
"02","M059","P.S. 59 (TANDEM A&D HS)","M","Classroom Connectivity"
"02","M070","I.S. 70","M","Boiler Conversion"
"02","M070","I.S. 70","M","Exterior Masonry"
"02","M070","I.S. 70","M","Heating Plant Upgrade"
"02","M070","I.S. 70","M","IP Digital Video Surveillance"
"02","M070","I.S. 70","M","New/Retrofit Telephone/Intercom System"
"02","M070","I.S. 70","M","Parapets"
"02","M070","I.S. 70","M","Roofs"
"02","M070","I.S. 70","M","Technology"
"02","M070","I.S. 70","M","Walk In Freezer Replacement"
"02","M070","I.S. 70","M","Windows"
"02","M089","P.S./I.S. 89","M","Classroom Connectivity"
"02","M089","P.S./I.S. 89","M","Classroom Connectivity"
"02","M104","I.S. 104","M","Auditorium Upgrade"
"02","M104","I.S. 104","M","Classroom Connectivity"
"02","M104","I.S. 104","M","IP Digital Video Surveillance"
"02","M104","I.S. 104","M","New/Retrofit Telephone/Intercom System"
"02","M111","P.S. 111","M","Classroom Connectivity"
"02","M111","P.S. 111","M","Electrical Systems"
"02","M111","P.S. 111","M","Low-Voltage Electrical Systems"
"02","M111","P.S. 111","M","New/Retrofit Telephone/Intercom System"
"02","M114","EAST SIDE MIDDLE SCHOOL","M","Classroom Connectivity"
"02","M116","P.S. 116","M","Boiler Conversion"
"02","M116","P.S. 116","M","Classroom Connectivity"
"02","M116","P.S. 116","M","New/Retrofit Telephone/Intercom System"
"02","M124","P.S. 124 (ECF)","M","Classroom Connectivity"
"02","M124","P.S. 124 (ECF)","M","Exterior Masonry"
"02","M124","P.S. 124 (ECF)","M","Parapets"
"02","M126","P.S. 126","M","Classroom Connectivity"
"02","M126","P.S. 126","M","Emergency Stabilization"
"02","M126","P.S. 126","M","Lighting Fixtures"
"02","M130","P.S. 130","M","Classroom Connectivity"
"02","M130","P.S. 130","M","Elevators and Escalators"
"02","M130","P.S. 130","M","New/Retrofit Telephone/Intercom System"
"02","M130","P.S. 130","M","New/Retrofit Telephone/Intercom System"
"02","M130","P.S. 130","M","Windows"
"02","M131","I.S. 131","M","Classroom Connectivity"
"02","M131","I.S. 131","M","Exterior Masonry"
"02","M131","I.S. 131","M","Parapets"
"02","M131","I.S. 131","M","Roofs"
"02","M131","I.S. 131","M","Room Conversions/Partitioning"
"02","M131","I.S. 131","M","Windows"
"02","M158","P.S. 158","M","Classroom Connectivity"
"02","M158","P.S. 158","M","Emergency Stabilization"
"02","M158","P.S. 158","M","New/Retrofit Telephone/Intercom System"
"02","M167","I.S. 167","M","Auditorium Upgrade"
"02","M167","I.S. 167","M","Classroom Connectivity"
"02","M167","I.S. 167","M","Domestic Piping"
"02","M167","I.S. 167","M","Emergency Stabilization"
"02","M167","I.S. 167","M","Heating Plant Upgrade"
"02","M167","I.S. 167","M","IP Digital Video Surveillance"
"02","M167","I.S. 167","M","Lighting Fixtures"
"02","M167","I.S. 167","M","New/Retrofit Telephone/Intercom System"
"02","M183","P.S. 183","M","Classroom Connectivity"
"02","M190","P.S. 290","M","Classroom Connectivity"
"02","M190","P.S. 290","M","Lighting Fixtures"
"02","M198","P.S. 198","M","Boiler Conversion"
"02","M198","P.S. 198","M","Cafeteria / Multipurpose Room Upgrade"
"02","M198","P.S. 198","M","Cimate Control"
"02","M198","P.S. 198","M","Classroom Connectivity"
"02","M198","P.S. 198","M","New/Retrofit Telephone/Intercom System"
"02","M198","P.S. 198","M","Waste System"
"02","M234","P.S. 234","M","Classroom Connectivity"
"02","M234","P.S. 234","M","New/Retrofit Telephone/Intercom System"
"02","M267","P.S. 59 (MEETH)","M","Classroom Connectivity"
"02","M271","P.S./I.S. 217","M","Classroom Connectivity"
"02","M271","P.S./I.S. 217","M","New/Retrofit Telephone/Intercom System"
"02","M271","P.S./I.S. 217","M","Parapets"
"02","M276","P.S./I.S. 276","M","Classroom Connectivity"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Classroom Connectivity"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Classroom Connectivity"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Elevators and Escalators"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Emergency Stabilization"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Exterior Masonry"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Low-Voltage Electrical Systems"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","New/Retrofit Telephone/Intercom System"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Parapets"
"02","M660","SCHL OF THE FUTURE (OLD BACON)","M","Roofs"
"02","M816","P.S. 151","M","Classroom Connectivity"
"02","M816","527 - EAST SIDE SCHOOL FOR SOCIAL ACT","M","New/Retrofit Telephone/Intercom System"
"02","M824","MILLENNIUM HS","M","Classroom Connectivity"
"02","M824","MILLENNIUM HS","M","Classroom Connectivity"
"02","M840","P.S. 150","M","Classroom Connectivity"
"02","M840","P.S. 150","M","Lighting Fixtures"
"02","M843","P.S. 234 ANNEX","M","Classroom Connectivity"
"02","M855","ELEANOR ROOSEVELT HS","M","Classroom Connectivity"
"02","M855","ELEANOR ROOSEVELT HS","M","IP Digital Video Surveillance"
"02","M855","ELEANOR ROOSEVELT HS","M","New/Retrofit Telephone/Intercom System"
"02","M877","NEW YORK HARBOR SCHOOL","M","Classroom Connectivity"
"02","M887","BARUCH COLLEGE CAMPUS HS","M","Classroom Connectivity"
"02","M971","HE SPRUCE STREET EDUCATIONAL CAMPU","M","Classroom Connectivity"
"03","M009","P.S. 9","M","Classroom Connectivity"
"03","M009","P.S. 9","M","Classroom Connectivity"
"03","M009","P.S. 9","M","Classroom Connectivity"
"03","M009","P.S. 9","M","New/Retrofit Telephone/Intercom System"
"03","M009","P.S. 9","M","Science Lab Upgrades"
"03","M044","I.S. 44","M","Classroom Connectivity"
"03","M044","I.S. 44","M","Low-Voltage Electrical Systems"
"03","M044","I.S. 44","M","New/Retrofit Telephone/Intercom System"
"03","M054","I.S. 54","M","Classroom Connectivity"
"03","M054","I.S. 54","M","New/Retrofit Telephone/Intercom System"
"03","M075","P.S. 75","M","Boiler Conversion"
"03","M075","P.S. 75","M","Cimate Control"
"03","M075","P.S. 75","M","Classroom Connectivity"
"03","M075","P.S. 75","M","Classroom Connectivity"
"03","M075","P.S. 75","M","Classroom Connectivity"
"03","M075","P.S. 75","M","Electrical Systems"
"03","M075","P.S. 75","M","Floors"
"03","M075","P.S. 75","M","Low-Voltage Electrical Systems"
"03","M076","P.S. 76","M","Classroom Connectivity"
"03","M076","P.S. 76","M","Emergency Stabilization"
"03","M076","P.S. 76","M","Lighting Fixtures"
"03","M076","P.S. 76","M","New/Retrofit Telephone/Intercom System"
"03","M076","P.S. 76","M","Science Lab Upgrades"
"03","M084","P.S. 84","M","Classroom Connectivity"
"03","M084","P.S. 84","M","Classroom Connectivity"
"03","M087","P.S. 87","M","Classroom Connectivity"
"03","M087","P.S. 87","M","Lighting Fixtures"
"03","M087","P.S. 87","M","New/Retrofit Telephone/Intercom System"
"03","M088","I.S. 88","M","Classroom Connectivity"
"03","M088","I.S. 88","M","Library Upgrades"
"03","M088","I.S. 88","M","New/Retrofit Telephone/Intercom System"
"03","M088","I.S. 88","M","Room Conversions/Partitioning"
"03","M088","I.S. 88","M","Room Conversions/Partitioning"
"03","M088","I.S. 88","M","School Improvement and Restructuring"
"03","M088","I.S. 88","M","Science Lab Upgrades"
"03","M088","I.S. 88","M","Technology"
"03","M113","P.S. 241","M","Boiler Conversion"
"03","M113","P.S. 241","M","Cimate Control"
"03","M113","P.S. 241","M","Classroom Connectivity"
"03","M113","P.S. 241","M","Electrical Systems"
"03","M113","P.S. 241","M","IP Digital Video Surveillance"
"03","M113","P.S. 241","M","Low-Voltage Electrical Systems"
"03","M113","P.S. 241","M","New/Retrofit Telephone/Intercom System"
"03","M113","P.S. 241","M","Room Conversions/Partitioning"
"03","M118","I.S. 118","M","Classroom Connectivity"
"03","M118","I.S. 118","M","Classroom Connectivity"
"03","M118","I.S. 118","M","Classroom Connectivity"
"03","M118","I.S. 118","M","Emergency Stabilization"
"03","M118","I.S. 118","M","IP Digital Video Surveillance"
"03","M144","P.S. 242 (OLD P144)","M","Classroom Connectivity"
"03","M144","P.S. 242 (OLD P144)","M","Lighting Fixtures"
"03","M144","P.S. 242 (OLD P144)","M","New/Retrofit Telephone/Intercom System"
"03","M144","P.S. 242 (OLD P144)","M","Parapets"
"03","M144","P.S. 242 (OLD P144)","M","Roofs"
"03","M145","P.S. 145","M","Boiler Conversion"
"03","M145","P.S. 145","M","Cimate Control"
"03","M145","P.S. 145","M","Classroom Connectivity"
"03","M145","P.S. 145","M","Lighting Fixtures"
"03","M145","P.S. 145","M","Science Lab Upgrades"
"03","M149","P.S. 149 (TANDEM M207)","M","Boiler Conversion"
"03","M149","P.S. 149 (TANDEM M207)","M","Climate Control"
"03","M149","P.S. 149 (TANDEM M207)","M","IP Digital Video Surveillance"
"03","M149","P.S. 149 (TANDEM M207)","M","Technology"
"03","M163","P.S. 163","M","Classroom Connectivity"
"03","M163","P.S. 163","M","IP Digital Video Surveillance"
"03","M163","P.S. 163","M","Lighting Fixtures"
"03","M163","P.S. 163","M","New/Retrofit Telephone/Intercom System"
"03","M165","P.S. 165","M","Classroom Connectivity"
"03","M165","P.S. 165","M","IP Digital Video Surveillance"
"03","M166","P.S. 166","M","Classroom Connectivity"
"03","M166","P.S. 166","M","Low-Voltage Electrical Systems"
"03","M166","P.S. 166","M","New/Retrofit Telephone/Intercom System"
"03","M166","P.S. 166","M","Paved Area-Concrete"
"03","M180","P.S. 180","M","Classroom Connectivity"
"03","M180","P.S. 180","M","Exterior Masonry"
"03","M180","P.S. 180","M","IP Digital Video Surveillance"
"03","M180","P.S. 180","M","Lighting Fixtures"
"03","M180","P.S. 180","M","New/Retrofit Telephone/Intercom System"
"03","M180","P.S. 180","M","Parapets"
"03","M180","P.S. 180","M","Science Lab Upgrades"
"03","M180","P.S. 180","M","Windows"
"03","M185","P.S. 185 (TANDEM M208)","M","Boiler Conversion"
"03","M185","P.S. 185 (TANDEM M208)","M","Classroom Connectivity"
"03","M185","P.S. 185 (TANDEM M208)","M","Lighting Fixtures"
"03","M185","P.S. 185 (TANDEM M208)","M","New/Retrofit Telephone/Intercom System"
"03","M191","P.S. 191","M","Classroom Connectivity"
"03","M191","P.S. 191","M","Lighting Fixtures"
"03","M191","P.S. 191","M","New/Retrofit Telephone/Intercom System"
"03","M191","P.S. 191","M","Parapets"
"03","M191","P.S. 191","M","Roofs"
"03","M199","P.S. 199","M","Classroom Connectivity"
"03","M199","P.S. 199","M","Classroom Connectivity"
"03","M199","P.S. 199","M","Classroom Connectivity"
"03","M199","P.S. 199","M","Classroom Connectivity"
"03","M199","P.S. 199","M","New/Retrofit Telephone/Intercom System"
"03","M199","P.S. 199","M","Room Conversions/Partitioning"
"03","M207","P.S. 207 (TANDEM M149)","M","Classroom Connectivity"
"03","M207","P.S. 207 (TANDEM M149)","M","New/Retrofit Telephone/Intercom System"
"03","M207","P.S. 207 (TANDEM M149)","M","Room Conversions/Partitioning"
"03","M208","P.S. 208 (TANDEM M185)","M","Lighting Fixtures"
"03","M208","P.S. 208 (TANDEM M185)","M","New/Retrofit Telephone/Intercom System"
"03","M208","P.S. 208 (TANDEM M185)","M","Technology"
"03","M932","SPECIAL MUSIC SCHOOL","M","Classroom Connectivity"
"04","M007","P.S. 7","M","Boiler Conversion"
"04","M007","P.S. 7","M","Classroom Connectivity"
"04","M007","P.S. 7","M","Classroom Connectivity"
"04","M007","P.S. 7","M","Climate Control"
"04","M007","P.S. 7","M","IP Digital Video Surveillance"
"04","M007","P.S. 7","M","Lighting Fixtures"
"04","M007","P.S. 7","M","New/Retrofit Telephone/Intercom System"
"04","M007","P.S. 7","M","Playground Redevelopment"
"04","M013","I.S. 13","M","Classroom Connectivity"
"04","M013","I.S. 13","M","Classroom Connectivity"
"04","M013","I.S. 13","M","Classroom Connectivity"
"04","M013","I.S. 13","M","IP Digital Video Surveillance"
"04","M013","I.S. 13","M","Lighting Fixtures"
"04","M013","I.S. 13","M","New/Retrofit Telephone/Intercom System"
"04","M013","I.S. 13","M","Technology"
"04","M013","I.S. 13","M","Technology"
"04","M045","K","M","Auditorium Upgrade"
"04","M045","K","M","Classroom Connectivity"
"04","M045","I.S. 45","M","IP Digital Video Surveillance"
"04","M045","I.S. 45","M","Room Conversions/Partitioning"
"04","M045","I.S. 45","M","Technology"
"04","M045","I.S. 45","M","Technology"
"04","M045","I.S. 45","M","Walk In Freezer Replacement"
"04","M050","P.S. 50 (UDC & ECF)","M","Boiler Conversion"
"04","M050","P.S. 50 (UDC & ECF)","M","Climate Control"
"04","M050","P.S. 50 (UDC & ECF)","M","IP Digital Video Surveillance"
"04","M050","P.S. 50 (UDC & ECF)","M","Library Upgrades"
"04","M050","P.S. 50 (UDC & ECF)","M","New/Retrofit Telephone/Intercom System"
"04","M050","P.S. 50 (UDC & ECF)","M","Room Conversions/Partitioning"
"04","M057","P.S. 57","M","Classroom Connectivity"
"04","M057","P.S. 57","M","Lighting Fixtures"
"04","M072","P.S. 72","M","Classroom Connectivity"
"04","M083","P.S. 83","M","Classroom Connectivity"
"04","M083","P.S. 83","M","Classroom Connectivity"
"04","M083","P.S. 83","M","Lighting Fixtures"
"04","M083","P.S. 83","M","Lighting Fixtures"
"04","M083","P.S. 83","M","Low-Voltage Electrical Systems"
"04","M096","P.S. 96","M","Boiler Conversion"
"04","M096","P.S. 96","M","Classroom Connectivity"
"04","M096","P.S. 96","M","Lighting Fixtures"
"04","M096","P.S. 96","M","New/Retrofit Telephone/Intercom System"
"04","M099","I.S. 99","M","Classroom Connectivity"
"04","M099","I.S. 99","M","Classroom Connectivity"
"04","M099","I.S. 99","M","IP Digital Video Surveillance"
"04","M099","I.S. 99","M","Roofs"
"04","M099","I.S. 99","M","Room Conversions/Partitioning"
"04","M101","P.S. 101","M","Boiler Conversion"
"04","M101","P.S. 101","M","Classroom Connectivity"
"04","M101","P.S. 101","M","Climate Control"
"04","M101","P.S. 101","M","Lighting Fixtures"
"04","M101","P.S. 101","M","New/Retrofit Telephone/Intercom System"
"04","M101","P.S. 101","M","Room Conversions/Partitioning"
"04","M101","P.S. 101","M","Room Conversions/Partitioning"
"04","M101","P.S. 101","M","School Improvement and Restructuring"
"04","M101","P.S. 101","M","Technology"
"04","M101","P.S. 101","M","Technology"
"04","M102","P.S. 102","M","Classroom Connectivity"
"04","M102","P.S. 102","M","New/Retrofit Telephone/Intercom System"
"04","M108","P.S. 108","M","Classroom Connectivity"
"04","M108","P.S. 108","M","Lighting Fixtures"
"04","M112","P.S. 112 (TANDEM M206)","M","Boiler Conversion"
"04","M112","P.S. 112 (TANDEM M206)","M","Classroom Connectivity"
"04","M112","P.S. 112 (TANDEM M206)","M","Climate Control"
"04","M112","P.S. 112 (TANDEM M206)","M","Exterior Masonry"
"04","M112","P.S. 112 (TANDEM M206)","M","New/Retrofit Telephone/Intercom System"
"04","M112","P.S. 112 (TANDEM M206)","M","Parapets"
"04","M112","P.S. 112 (TANDEM M206)","M","Roofs"
"04","M112","P.S. 112 (TANDEM M206)","M","Science Lab Upgrades"
"04","M117","J.H.S. 117","M","Boiler Conversion"
"04","M117","J.H.S. 117","M","Classroom Connectivity"
"04","M117","J.H.S. 117","M","Classroom Connectivity"
"04","M117","J.H.S. 117","M","Elevators and Escalators"
"04","M117","J.H.S. 117","M","IP Digital Video Surveillance"
"04","M117","J.H.S. 117","M","Playground Redevelopment"
"04","M121","P.S. 38 (OLD M121)","M","Auditorium Upgrade"
"04","M121","P.S. 38 (OLD M121)","M","Classroom Connectivity"
"04","M121","P.S. 38 (OLD M121)","M","New/Retrofit Telephone/Intercom System"
"04","M146","P.S. 146","M","Boiler Conversion"
"04","M146","P.S. 146","M","Classroom Connectivity"
"04","M146","P.S. 146","M","Climate Control"
"04","M146","P.S. 146","M","Lighting Fixtures"
"04","M155","P.S. 155","M","Boiler Conversion"
"04","M155","P.S. 155","M","Classroom Connectivity"
"04","M155","P.S. 155","M","Lighting Fixtures"
"04","M155","P.S. 155","M","New/Retrofit Telephone/Intercom System"
"04","M155","P.S. 155","M","Room Conversions/Partitioning"
"04","M155","P.S. 155","M","Science Lab Upgrades"
"04","M171","P.S. 171","M","Classroom Connectivity"
"04","M171","P.S. 171","M","Classroom Connectivity"
"04","M171","P.S. 171","M","New/Retrofit Telephone/Intercom System"
"04","M171","P.S. 171","M","Paved Area-Blacktop"
"04","M206","P.S. 206 (TANDEM M112)","M","Classroom Connectivity"
"04","M206","P.S. 206 (TANDEM M112)","M","Exterior Masonry"
"04","M206","P.S. 206 (TANDEM M112)","M","Flood Elimination"
"04","M206","P.S. 206 (TANDEM M112)","M","Parapets"
"04","M206","P.S. 206 (TANDEM M112)","M","Paved Area-Concrete"
"04","M206","P.S. 206 (TANDEM M112)","M","Roofs"
"05","M010","I.S. 10 (TANDEM M200)","M","Classroom Connectivity"
"05","M010","I.S. 10 (TANDEM M200)","M","Domestic Piping"
"05","M010","I.S. 10 (TANDEM M200)","M","Flood Elimination"
"05","M010","I.S. 10 (TANDEM M200)","M","Low-Voltage Electrical Systems"
"05","M010","I.S. 10 (TANDEM M200)","M","New/Retrofit Telephone/Intercom System"
"05","M010","I.S. 10 (TANDEM M200)","M","Walk In Freezer Replacement"
"05","M030","P.S. 30","M","Classroom Connectivity"
"05","M030","P.S. 30","M","Domestic Piping"
"05","M030","P.S. 30","M","Emergency Stabilization"
"05","M030","P.S. 30","M","Low-Voltage Electrical Systems"
"05","M030","P.S. 30","M","Room Conversions/Partitioning"
"05","M030","P.S. 30","M","Technology"
"05","M030","P.S. 30","M","Toilets-Students"
"05","M030","P.S. 30","M","Toilets-Students"
"05","M030","P.S. 30","M","Toilets-Students"
"05","M030","P.S. 30","M","Walk In Freezer Replacement"
"05","M036","P.S. 36","M","Classroom Connectivity"
"05","M036","P.S. 36","M","Exterior Masonry"
"05","M036","P.S. 36","M","Low-Voltage Electrical Systems"
"05","M036","P.S. 36","M","Parapets"
"05","M036","P.S. 36","M","Roofs"
"05","M043","I.S. 172 (OLD 43)","M","Classroom Connectivity"
"05","M043","I.S. 172 (OLD 43)","M","Gymnasium Upgrade"
"05","M043","I.S. 172 (OLD 43)","M","Library Upgrades"
"05","M043","I.S. 172 (OLD 43)","M","New/Retrofit Telephone/Intercom System"
"05","M046","P.S. 46","M","Classroom Connectivity"
"05","M046","P.S. 46","M","Classroom Connectivity"
"05","M046","P.S. 46","M","Domestic Piping"
"05","M046","P.S. 46","M","New/Retrofit Telephone/Intercom System"
"05","M046","P.S. 46","M","Science Lab Upgrades"
"05","M092","P.S. 92","M","Boiler Conversion"
"05","M092","P.S. 92","M","Classroom Connectivity"
"05","M092","P.S. 92","M","IP Digital Video Surveillance"
"05","M092","P.S. 92","M","Lighting Fixtures"
"05","M092","P.S. 92","M","New/Retrofit Telephone/Intercom System"
"05","M092","P.S. 92","M","Parapets"
"05","M092","P.S. 92","M","Technology"
"05","M092","P.S. 92","M","Windows"
"05","M123","P.S. 123","M","Auditorium Upgrade"
"05","M123","P.S. 123","M","Boiler Conversion"
"05","M123","P.S. 123","M","Classroom Connectivity"
"05","M123","P.S. 123","M","Climate Control"
"05","M123","P.S. 123","M","Electrical Systems"
"05","M123","P.S. 123","M","Exterior Masonry"
"05","M123","P.S. 123","M","Lighting Fixtures"
"05","M123","P.S. 123","M","Lighting Fixtures"
"05","M123","P.S. 123","M","New/Retrofit Telephone/Intercom System"
"05","M123","P.S. 123","M","Parapets"
"05","M123","P.S. 123","M","Roofs"
"05","M125","P.S. 125","M","Classroom Connectivity"
"05","M125","P.S. 125","M","Low-Voltage Electrical Systems"
"05","M125","P.S. 125","M","Room Conversions/Partitioning"
"05","M125","P.S. 125","M","Room Conversions/Partitioning"
"05","M125","P.S. 125","M","School Improvement and Restructuring"
"05","M125","P.S. 125","M","Science Lab Upgrades"
"05","M129","P.S. 129","M","Classroom Connectivity"
"05","M129","P.S. 129","M","Lighting Fixtures"
"05","M129","P.S. 129","M","New/Retrofit Telephone/Intercom System"
"05","M133","P.S. 133","M","Boiler Conversion"
"05","M133","P.S. 133","M","Boiler Conversion"
"05","M133","P.S. 133","M","Classroom Connectivity"
"05","M133","P.S. 133","M","Climate Control"
