existingsiteidentified,proposedleasedfacility,forecastcapacity,district,school,projectnum,description,location,latitude,longitude,actualestcompl,fy,designstart,constrstart,totalestcost,previousappropriations,fundingreqd,neededtocomplete,source,inprev,cd,borough,csd,geom_source,geom
,L,476,31,PROJECT #2,DSF0000911850,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,21.08,0,19.58,1.5,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,29,PROJECT #2,DSF0000911864,capacity projects,,,,Jun-26,2026,Sep-22,Dec-23,76.92,0,68.55,8.37,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,2,PROJECT #2,DSF0000911799,capacity projects,,,,Mar-25,2025,Sep-20,Dec-21,92.85,0,86.32,6.53,sca_cp_cap_schools_FY2020-24,,,,,,
,,572,9,PROJECT #2,DSF0000889664,capacity projects,,,,Apr-24,2024,Jul-19,Apr-21,90.97,0.02,90.95,0,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,24,PROJECT #2,DSF0000889651,capacity projects,,,,Apr-23,2023,Jul-19,Sep-20,96.62,0.02,96.6,0,sca_cp_cap_schools_FY2020-24,,,,,,
,L,1202,78Q,PROJECT #2,DSF0000911858,capacity projects,,,,Jun-26,2026,Nov-21,Mar-23,186.87,0,169.58,17.29,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,25,PROJECT #2,DSF0000911834,capacity projects,,,,Mar-26,2026,Mar-21,Jun-22,127.55,0,115.85,11.7,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,22,PROJECT #2,DSF0000911846,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,99.43,0,92.43,7,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,21,PROJECT #2,DSF0000911841,capacity projects,,,,Mar-26,2026,Mar-21,Jun-22,71.3,0,64.8,6.5,sca_cp_cap_schools_FY2020-24,,,,,,
,L,824,26,PROJECT #2,DSF0000911853,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,129.26,0,117.3,11.96,sca_cp_cap_schools_FY2020-24,,,,,,
,L,824,11,PROJECT #2,DSF0000911832,capacity projects,,,,Jun-26,2026,Jun-21,Dec-22,42.15,0,38.25,3.9,sca_cp_cap_schools_FY2020-24,,,,,,
,L,640,15,PROJECT #2,DSF0000890667,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,29.87,0.01,27.21,2.64,sca_cp_cap_schools_FY2020-24,,,,,,
,L,640,28,PROJECT #2,DSF0000911860,capacity projects,,,,Mar-27,2027,Sep-22,Dec-23,28.1,0,25,3.1,sca_cp_cap_schools_FY2020-24,,,,,,
,L,640,27,PROJECT #2,DSF0000798206,capacity projects,,,,Sep-24,2025,Jun-20,Sep-21,28.1,0.12,27.19,0.79,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,379,14,PROJECT #2,DSF0000798240,capacity projects,,,,Sep-24,2025,Nov-20,Feb-22,57.25,0,55.65,1.6,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,572,10,PROJECT #2,DSF0000798174,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,20.92,0.14,19,1.77,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,824,20,PROJECT #2,DSF0000798188,capacity projects,,,,Jun-26,2026,Jan-22,Apr-23,49.29,0.21,44.59,4.49,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,640,30,PROJECT #2,DSF0000798211,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,28.1,0.03,28.07,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,21,PROJECT #3,DSF0000911842,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,31,PROJECT #3,DSF0000911848,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,76.92,0,68.55,8.37,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,27,PROJECT #3,DSF0000889273,capacity projects,,,,Mar-25,2025,Apr-21,Jun-22,99.43,0.09,92.37,6.97,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,25,PROJECT #3,DSF0000911835,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,11,PROJECT #3,DSF0000889274,capacity projects,,,,Jun-23,2023,Jun-19,Sep-20,63.28,5.06,58.22,0,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,20,PROJECT #3,DSF0000843829,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,102.25,0.12,92.83,9.3,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,26,PROJECT #3,DSF0000889663,capacity projects,,,,Jun-23,2023,Jul-19,Oct-20,63.28,0.06,63.22,0,sca_cp_cap_schools_FY2020-24,,,,,,
,,1479,78Q,PROJECT #3,DSF0000911861,capacity projects,,,,Jun-28,2028,Nov-22,Mar-24,197.85,0,176.15,21.7,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,28,PROJECT #3,DSF0000911862,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,99.43,0,92.43,7,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,10,PROJECT #3,DSF0000867118,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,99.43,0.01,99.43,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
No,No,656,13,PROJECT #3,DSF0000843661,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,50.63,0,4.83,,sca_cp_cap_schools_FY2015-19,Y,,,,,
,,1000,30,PROJECT #3,DSF0000798212,capacity projects,,,,Jun-28,2028,Jun-23,Sep-24,155.7,0.07,13.24,142.39,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,31,PROJECT #4,DSF0000889060,capacity projects,,,,Mar-24,2024,Apr-20,Jul-21,71.71,0.07,71.63,0,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,30,PROJECT #4,DSF0000889670,capacity projects,,,,Apr-25,2025,Jun-21,Sep-22,74.11,0,67.61,6.5,sca_cp_cap_schools_FY2020-24,,,,,,
,,572,28,PROJECT #4,DSF0000911859,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,96.59,0,87.75,8.84,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,25,PROJECT #4,DSF0000911839,capacity projects,,,,Sep-26,2027,Sep-22,Dec-23,75.52,0,67.3,8.22,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,10,PROJECT #4,DSF0000911830,capacity projects,,,,Jun-27,2027,Jun-22,Dec-23,134.58,0,119.85,14.73,sca_cp_cap_schools_FY2020-24,,,,,,
,,1202,78Q,PROJECT #4,DSF0000889275,capacity projects,,,,Sep-25,2026,May-20,Jan-22,179.08,38.12,128.64,12.32,sca_cp_cap_schools_FY2020-24,,,,,,
,L,640,20,PROJECT #4,DSF0000798191,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,28.11,0.11,27.99,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,476,21,PROJECT #4,DSF0000911844,capacity projects,,,,Mar-26,2026,Mar-23,Jun-24,29.51,0,26.25,3.26,sca_cp_cap_schools_FY2020-24,,,,,,
,L,640,25,PROJECT #5,DSF0000911843,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,28.1,0,26.1,2,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,20,PROJECT #5,DSF0000798190,capacity projects,,,,Jun-25,2025,Jun-21,Sep-22,74.11,0.02,67.6,6.49,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,640,21,PROJECT #5,DSF0000911868,capacity projects,,,,Jun-27,2027,Mar-23,Jun-24,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,31,PROJECT #5,DSF0000911852,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,L,824,20,PROJECT #6,DSF0000845622,capacity projects,,,,Jun-25,2025,Jan-21,Apr-22,49.18,0.02,45.65,3.5,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,692,31,PROJECT #6,DSF0000911854,capacity projects,,,,Jun-27,2027,Sep-22,Dec-23,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,,
No,No,420,15,PROJECT #6,DSF0000866306,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,60.99,0,4.59,,sca_cp_cap_schools_FY2015-19,Y,,,,,
,,640,25,PROJECT #6,DSF0000911845,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,100.83,0,91.6,9.23,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,31,PROJECT #7,DSF0000798213,capacity projects,,,,Jun-25,2025,Apr-21,Jul-22,50.25,0.17,45.94,4.14,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,476,20,PROJECT #7,DSF0000798567,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,20.97,0.29,18.99,1.69,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,572,25,PROJECT #7,DSF0000911849,capacity projects,,,,Sep-26,2027,Sep-22,Dec-23,92.38,0,82.3,10.08,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,20,PROJECT #8,DSF0000911837,capacity projects,,,,Jun-25,2025,Jun-20,Dec-21,130.36,0,121.16,9.2,sca_cp_cap_schools_FY2020-24,,,,,,
,L,824,20,PROJECT #9,DSF0000911838,capacity projects,,,,Jun-26,2026,Jun-21,Dec-22,49.18,0,44.63,4.55,sca_cp_cap_schools_FY2020-24,,,,,,
Yes,No,476,30,P.S. 398,DSF0000798210,capacity projects,69-01 34TH AVENUE,40.752493,-73.896922,Jun-19,2019,Jun-15,Mar-17,94.31,0,94.31,,sca_cp_cap_schools_FY2015-19,Y,403,Queens,30,SCA,0101000020E61000000744882B677952C006BCCCB051604440
Yes,Yes,420,29,3K CENTER @ 92-80 220 STREET,DSF0000890627,3k capacity projects,92-80 220 STREET,40.723336,-73.736561,2019-08-20T00:00:00.000,2020,2019-06-18T00:00:00.000,2019-09-19T00:00:00.000,9.92,0.04,9.88,0,sca_cp_3k_schools,,413,Queens,29,SCA,0101000020E610000094A0BFD0236F52C07E022846965C4440
Yes,No,969,78Q,ACADEMY OF AMERICAN STUDIES,DSF0000798215,capacity projects,28-01 41ST AVENUE,40.751356,-73.937445,Jun-21,2021,Jul-16,Mar-18,121.02,0.02,110.66,,sca_cp_cap_schools_FY2015-19,Y,401,Queens,30,SCA,0101000020E61000001E335019FF7B52C0A2D3F36E2C604440
Yes,Yes,378,15,EDUCATIONAL CAMPUS @ 500 19TH STREET,DSF0000798184,capacity projects,500 19TH STREET,40.656944,-73.983115,Sep-17,2018,Mar-16,Jul-17,23.54,0,23.54,,sca_cp_cap_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000404D2D5BEB7E52C0D7A6B1BD16544440
Yes,Yes,288,15,EDUCATIONAL CAMPUS @ 500 19TH STREET,DSF0000821918,pre-k capacity projects,500 19TH STREET,40.656944,-73.983115,15-Aug,2016,15-Feb,15-Mar,5.27,0,5.27,0,sca_cp_prek_schools_FY2015-19,Y,307,Brooklyn,15,SCA,0101000020E6100000404D2D5BEB7E52C0D7A6B1BD16544440
Yes,Yes,90,31,FOREST AVENUE COMMUNITY EDUCATIONAL COMPLEX,DSF0000800050,pre-k capacity projects,1625 FOREST AVENUE,40.624773,-74.142525,15-Sep,2016,14-Jun,14-Dec,21.89,0.01,21.88,0,sca_cp_prek_schools_FY2015-19,Y,501,Staten Island,31,SCA,0101000020E610000032772D211F8952C03F36C98FF84F4440
Yes,Yes,224,31,FOREST AVENUE COMMUNITY EDUCATIONAL COMPLEX,DSF0000821684,capacity projects,1625 FOREST AVENUE,40.624773,-74.142525,Sep-16,2017,Jun-14,Dec-14,27.49,0,27.49,,sca_cp_cap_schools_FY2015-19,Y,501,Staten Island,31,SCA,0101000020E610000032772D211F8952C03F36C98FF84F4440
Yes,No,555,78Q,FRANCIS LEWIS HS ANNEX,DSF0000821799,capacity projects,58-02 UTOPIA PARKWAY,40.740899,-73.792819,Jul-21,2022,Apr-17,Jul-18,74.92,0,67.29,,sca_cp_cap_schools_FY2015-19,Y,411,Queens,26,SCA,0101000020E61000006F29E78BBD7252C0CE5147C7D55E4440
*,,3079,78Q,H.S. @ 51-30 NORTHERN BOULEVARD,DSF0000866092,capacity projects,51-30 NORTHERN BOULEVARD,40.753167,-73.908092,Jun-24,2024,Jun-18,Feb-20,352.79,28.18,324.61,0,sca_cp_cap_schools_FY2020-24,Y,402,Queens,30,SCA,0101000020E61000009770E82D1E7A52C095B6B8C667604440
Yes,No,"1,016",2,I.S. 323,DSF0000798235,capacity projects,75 MORTON STREET,40.730999,-74.007191,May-18,2018,Aug-13,Feb-15,181.4,44.1,137.3,,sca_cp_cap_schools_FY2015-19,Y,102,Manhattan,2,SCA,0101000020E6100000D6743DD1758052C050340F60915D4440
Yes,No,725,30,I.S. @ 38-04 48TH STREET,DSF0000843825,capacity projects,38-04 48TH STREET,40.749939,-73.915452,Jun-22,2022,Feb-18,Jun-19,74.18,0,67.84,,sca_cp_cap_schools_FY2015-19,Y,402,Queens,30,SCA,0101000020E6100000B343FCC3967A52C05A7F4B00FE5F4440
Yes,No,646,24,I.S. 419,DSF0000798196,capacity projects,111-10 ASTORIA BOULEVARD,40.7599,-73.859218,Sep-21,2022,Sep-16,May-18,124.4,0.14,114.25,,sca_cp_cap_schools_FY2015-19,Y,403,Queens,24,SCA,0101000020E61000009C887E6DFD7652C07E1D386744614440
*,,640,13,I.S. 653,DSF0000798239,capacity projects,491 DEAN STREET,40.681392,-73.973655,Aug-22,2023,May-15,Jun-20,126.15,100.74,25.41,0,sca_cp_cap_schools_FY2020-24,Y,308,Brooklyn,13,SCA,0101000020E61000008FA50F5D507E52C0C6E061DA37574440
Yes,Yes,309,31,I.S. 82,DSF0000798214,capacity projects,104 GORDON STREET,40.624263,-74.082667,Jun-17,2017,Nov-15,Nov-16,15.14,0.01,15.13,,sca_cp_cap_schools_FY2015-19,Y,501,Staten Island,31,SCA,0101000020E6100000575D876A4A8552C02A8D98D9E74F4440
Yes,Yes,162,29,PRE-K CENTER @ 100-01 SPRINGFIELD BOULEVARD,DSF0000801025,pre-k capacity projects,100-01 SPRINGFIELD BOULEVARD,40.714844,-73.735602,15-Jul,2016,14-Aug,14-Dec,8.73,0,8.73,0,sca_cp_prek_schools_FY2015-19,Y,413,Queens,29,SCA,0101000020E6100000D237691A146F52C0F4DE1802805B4440
Yes,Yes,72,24,PRE-K CENTER @ 104-14 ROOSEVELT AVENUE,DSF0000844698,pre-k capacity projects,104-14 ROOSEVELT AVENUE,40.749999,-73.861311,17-Sep,2018,16-Aug,17-May,12.94,0,12.94,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E6100000D82B2CB81F7752C030849CF7FF5F4440
Yes,Yes,90,7,PRE-K CENTER @ 105 WILLIS AVENUE,DSF0000800054,pre-k capacity projects,105 WILLIS AVENUE,40.805788,-73.925307,15-Jul,2016,14-Jun,14-Dec,8.61,0,8.61,0,sca_cp_prek_schools_FY2015-19,Y,201,Bronx,7,SCA,0101000020E6100000A2F0D93A387B52C02FC1A90F24674440
Yes,Yes,36,24,PRE-K CENTER @ 106-02 NORTHERN BOULEVARD,DSF0000822098,pre-k capacity projects,106-02 NORTHERN BOULEVARD,40.757755,-73.862659,16-Aug,2017,15-Jun,16-Feb,4.19,0,4.19,0,sca_cp_prek_schools_FY2015-19,Y,403,Queens,24,SCA,0101000020E6100000672618CE357752C0B4B0A71DFE604440
Yes,Yes,77,24,PRE-K CENTER @ 107-17 NORTHERN BOULEVARD,DSF0000822099,pre-k capacity projects,107-17 NORTHERN BOULEVARD,40.757811,-73.861666,16-Jul,2017,15-Jun,16-Jan,5.7,0,5.7,0,sca_cp_prek_schools_FY2015-19,Y,403,Queens,24,SCA,0101000020E6100000CF842689257752C047C66AF3FF604440
Yes,Yes,54,24,PRE-K CENTER @ 108-18 ROOSEVELT AVENUE,DSF0000845581,pre-k capacity projects,108-18 ROOSEVELT AVENUE,40.750844,-73.858303,18-Sep,2019,16-Oct,18-Mar,5.97,0,5.97,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,SCA,0101000020E6100000C2C3B46FEE7652C0EC32FCA71B604440
Yes,Yes,180,21,PRE-K CENTER @ 10 BOUCK COURT,DSF0000821873,pre-k capacity projects,10 BOUCK COURT,40.588759,-73.973728,16-Aug,2017,15-Mar,16-Jan,17.78,0,17.78,0,sca_cp_prek_schools_FY2015-19,Y,315,Brooklyn,21,SCA,0101000020E6100000C4CC3E8F517E52C0E31C75745C4B4440
Yes,Yes,144,22,PRE-K CENTER @ 1139 CONEY ISLAND AVENUE,DSF0000800113,pre-k capacity projects,1139 CONEY ISLAND AVENUE,40.630101,-73.966207,15-Jul,2016,14-Jun,14-Dec,13.05,0,13.05,0,sca_cp_prek_schools_FY2015-19,Y,314,Brooklyn,22,SCA,0101000020E6100000A48AE255D67D52C0A5164A26A7504440
Yes,Yes,108,21,PRE-K CENTER @ 1215 AVENUE X,DSF0000800303,pre-k capacity projects,1215 AVENUE X,40.591856,-73.95842,15-Aug,2016,14-Jul,14-Dec,5.4,0,5.4,0,sca_cp_prek_schools_FY2015-19,Y,315,Brooklyn,21,SCA,0101000020E610000045F5D6C0567D52C07FF8F9EFC14B4440
Yes,Yes,72,21,PRE-K CENTER @ 1223 CONEY ISLAND AVENUE,DSF0000821960,pre-k capacity projects,1223 CONEY ISLAND AVENUE,40.62782,-73.96574,17-Jul,2018,15-Apr,16-Jan,10.91,0,10.91,0,sca_cp_prek_schools_FY2015-19,Y,314,Brooklyn,21,SCA,0101000020E6100000191C25AFCE7D52C02AE3DF675C504440
Yes,Yes,144,25,PRE-K CENTER @ 123-07 22ND AVENUE,DSF0000821868,pre-k capacity projects,123-07 22ND AVENUE,40.78016,-73.844931,17-Sep,2018,15-Feb,15-Dec,6.68,0,6.68,0,sca_cp_prek_schools_FY2015-19,Y,407,Queens,25,SCA,0101000020E61000001A187959137652C0DDD26A48DC634440
Yes,Yes,36,15,PRE-K CENTER @ 131 UNION STREET,DSF0000822084,pre-k capacity projects,131 UNION STREET,40.68428,-74.002592,16-Sep,2017,15-Jun,16-Feb,7.33,0,7.33,0,sca_cp_prek_schools_FY2015-19,Y,306,Brooklyn,15,SCA,0101000020E6100000CDCEA2772A8052C048A7AE7C96574440
Yes,Yes,90,28,PRE-K CENTER @ 132-10 JAMAICA AVENUE,DSF0000800124,pre-k capacity projects,132-10 JAMAICA AVENUE,40.702156,-73.820209,15-Jun,2015,14-Jun,14-Dec,11.98,0,11.98,0,sca_cp_prek_schools_FY2015-19,Y,409,Queens,28,SCA,0101000020E6100000A2B8E34D7E7452C05858703FE0594440
Yes,Yes,252,22,PRE-K CENTER @ 1340 EAST 29TH STREET,DSF0000822027,pre-k capacity projects,1340 EAST 29TH STREET,40.61845,-73.94633,15-Sep,2016,15-Mar,15-May,15.65,0,15.65,0,sca_cp_prek_schools_FY2015-19,Y,314,Brooklyn,22,SCA,0101000020E6100000514EB4AB907C52C0091B9E5E294F4440
Yes,Yes,72,20,PRE-K CENTER @ 1355 84TH STREET,DSF0000822162,pre-k capacity projects,1355 84TH STREET,40.614466,-74.011425,16-Sep,2017,15-May,15-Aug,0.4,0,0.4,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,SCA,0101000020E6100000D656EC2FBB8052C0814067D2A64E4440
Yes,Yes,90,20,PRE-K CENTER @ 1355 84TH STREET,DSF0000800057,pre-k capacity projects,1355 84TH STREET,40.614466,-74.011425,15-Sep,2016,14-Jun,15-Jan,12.43,0,12.43,0,sca_cp_prek_schools_FY2015-19,Y,310,Brooklyn,20,SCA,0101000020E6100000D656EC2FBB8052C0814067D2A64E4440
Yes,No,126,20,PRE-K CENTER @ 140A 58TH STREET,DSF0000821967,pre-k capacity projects,140A 58TH STREET,40.645338,-74.022864,15-Sep,2016,15-Apr,15-Jun,16.7,0,16.7,0,sca_cp_prek_schools_FY2015-19,Y,307,Brooklyn,20,SCA,0101000020E61000005E10919A768152C0DB6E826F9A524440
Yes,Yes,324,20,PRE-K CENTER @ 1423 62ND STREET,DSF0000821958,pre-k capacity projects,1423 62ND STREET,40.625899,-73.996729,17-Aug,2018,15-Apr,16-May,34.71,0,34.71,0,sca_cp_prek_schools_FY2015-19,Y,311,Brooklyn,20,SCA,0101000020E6100000637E6E68CA7F52C0AFCC5B751D504440
Yes,Yes,90,9,PRE-K CENTER @ 1434 OGDEN AVENUE,DSF0000801087,pre-k capacity projects,1434 OGDEN AVENUE,40.84337,-73.923736,15-Aug,2016,14-Oct,15-Mar,10.57,0,10.57,0,sca_cp_prek_schools_FY2015-19,Y,204,Bronx,9,SCA,0101000020E6100000D388997D1E7B52C0B936548CF36B4440
Yes,Yes,108,25,PRE-K CENTER @ 14-45 143RD STREET,DSF0000821980,pre-k capacity projects,14-45 143RD STREET,40.785787,-73.826154,16-Jul,2017,15-Apr,16-Jan,3.85,0,3.85,0,sca_cp_prek_schools_FY2015-19,Y,407,Queens,25,SCA,0101000020E61000006ADD06B5DF7452C09C4F1DAB94644440
Yes,Yes,180,20,PRE-K CENTER @ 1668 46TH STREET,DSF0000800047,pre-k capacity projects,1668 46TH STREET,40.631768,-73.98221,15-Jul,2016,14-Jun,14-Nov,7.13,0.02,7.11,0,sca_cp_prek_schools_FY2015-19,Y,312,Brooklyn,20,SCA,0101000020E610000077F35487DC7E52C0655419C6DD504440
