bldgid,district,boro,school,programcategory,source,geom,cd,school_district
X400,78X,X,MORRIS HS,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Lighting Fixtures,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Lighting Fixtures,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Paved Area-Concrete,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Roofs,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Student Toilets,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Windows,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X400,78X,X,MORRIS HS,Flood Elimination,sca_cp_added_projects,0101000020E610000078F95BA8D77952C0C3DDBACFED694440,203,9
X080,10,X,I.S. 80/P.S. 280,Electrical Systems,sca_cp_added_projects,0101000020E6100000D0D6F2F5657852C06ABF719E3D704440,207,10
X080,10,X,I.S. 80/P.S. 280,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000D0D6F2F5657852C06ABF719E3D704440,207,10
X080,10,X,I.S. 80/P.S. 280,Accessibility,sca_cp_added_projects,0101000020E6100000D0D6F2F5657852C06ABF719E3D704440,207,10
X080,10,X,I.S. 80/P.S. 280,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000D0D6F2F5657852C06ABF719E3D704440,207,10
X080,10,X,I.S. 80/P.S. 280,Playground Redevelopment and TCU Removal,sca_cp_added_projects,0101000020E6100000D0D6F2F5657852C06ABF719E3D704440,207,10
X041,11,X,P.S. 41,Boiler Conversion,sca_cp_added_projects,0101000020E61000009A8FB5918A7752C0AC1256E3F76F4440,212,11
X041,11,X,P.S. 41,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000009A8FB5918A7752C0AC1256E3F76F4440,212,11
X041,11,X,P.S. 41,Lighting Fixtures,sca_cp_added_projects,0101000020E61000009A8FB5918A7752C0AC1256E3F76F4440,212,11
X041,11,X,P.S. 41,Student Toilets,sca_cp_added_projects,0101000020E61000009A8FB5918A7752C0AC1256E3F76F4440,212,11
X041,11,X,P.S. 41,Climate Control,sca_cp_added_projects,0101000020E61000009A8FB5918A7752C0AC1256E3F76F4440,212,11
X036,8,X,P.S. 36,Windows,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X036,8,X,P.S. 36,Parapets,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X036,8,X,P.S. 36,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X036,8,X,P.S. 36,Exterior Masonry,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X036,8,X,P.S. 36,Roofs,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X036,8,X,P.S. 36,Safety Systems,sca_cp_added_projects,0101000020E6100000832A1181637652C0954BCC032C6A4440,209,8
X167,12,X,P.S. 214,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000A14E0BFF4F7852C076CA950F6C6B4440,206,12
X167,12,X,P.S. 214,Student Toilets,sca_cp_added_projects,0101000020E6100000A14E0BFF4F7852C076CA950F6C6B4440,206,12
X843,10,X,P.S. 246 (POE CENTER),Parapets,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X843,10,X,P.S. 246 (POE CENTER),Paved Area-Concrete,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X843,10,X,P.S. 246 (POE CENTER),Roofs,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X843,10,X,P.S. 246 (POE CENTER),Elevators and Escalators,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X843,10,X,P.S. 246 (POE CENTER),Exterior Masonry,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X843,10,X,P.S. 246 (POE CENTER),Flood Elimination,sca_cp_added_projects,0101000020E610000085B371964C7952C0AFDF39FFD76E4440,207,10
X105,11,X,P.S. 105,Student Toilets,sca_cp_added_projects,0101000020E610000061FB5FE2707752C057ABBF99316D4440,211,11
X105,11,X,P.S. 105,Parapets,sca_cp_added_projects,0101000020E610000061FB5FE2707752C057ABBF99316D4440,211,11
X105,11,X,P.S. 105,Low-Voltage Electrical Systems,sca_cp_added_projects,0101000020E610000061FB5FE2707752C057ABBF99316D4440,211,11
X192,8,X,I.S. 192,Student Toilets,sca_cp_added_projects,0101000020E6100000E03146525B7452C0FA57F6A9D2694440,210,8
X192,8,X,I.S. 192,Parapets,sca_cp_added_projects,0101000020E6100000E03146525B7452C0FA57F6A9D2694440,210,8
X192,8,X,I.S. 192,Exterior Masonry,sca_cp_added_projects,0101000020E6100000E03146525B7452C0FA57F6A9D2694440,210,8
X192,8,X,I.S. 192,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000E03146525B7452C0FA57F6A9D2694440,210,8
X131,8,X,I.S. 131,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000A9B2363D0A7752C0F15C179E55694440,209,8
X131,8,X,I.S. 131,Electrical Systems,sca_cp_added_projects,0101000020E6100000A9B2363D0A7752C0F15C179E55694440,209,8
X131,8,X,I.S. 131,Student Toilets,sca_cp_added_projects,0101000020E6100000A9B2363D0A7752C0F15C179E55694440,209,8
X131,8,X,I.S. 131,Exterior Masonry,sca_cp_added_projects,0101000020E6100000A9B2363D0A7752C0F15C179E55694440,209,8
X050,12,X,P.S. 50,Student Toilets,sca_cp_added_projects,0101000020E6100000E0C13582C47852C0ABD8A4A6C66A4440,203,12
X145,9,X,I.S. 145,Electrical Systems,sca_cp_added_projects,0101000020E6100000EEA31DE17F7A52C0371C9057EA694440,204,9
X065,7,X,P.S. 65,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000066BD76A2677A52C0E39342926E674440,201,7
X065,7,X,P.S. 65,Student Toilets,sca_cp_added_projects,0101000020E610000066BD76A2677A52C0E39342926E674440,201,7
X065,7,X,P.S. 65,Electrical Systems,sca_cp_added_projects,0101000020E610000066BD76A2677A52C0E39342926E674440,201,7
X183,7,X,J.H.S. 203,Flood Elimination,sca_cp_added_projects,0101000020E610000012C67503437B52C00965BF9C26684440,201,7
X183,7,X,J.H.S. 203,Parapets,sca_cp_added_projects,0101000020E610000012C67503437B52C00965BF9C26684440,201,7
X109,9,X,P.S. 109,Flood Elimination,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Lighting Fixtures,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Parapets,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Roofs,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Heating Plant Upgrade,sca_cp_cancelled_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Student Toilets,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Electrical Systems,sca_cp_cancelled_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Electrical Systems,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Exterior Masonry,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X109,9,X,P.S. 109,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000043BEBD21D07A52C0BAAE3BB8036D4440,205,9
X093,8,X,P.S. 93,Playground Redevelopment,sca_cp_added_projects,0101000020E6100000975BA13F257852C0D06EC86348694440,209,8
X093,8,X,P.S. 93,Electrical Systems,sca_cp_added_projects,0101000020E6100000975BA13F257852C0D06EC86348694440,209,8
X093,8,X,P.S. 93,Roofs,sca_cp_added_projects,0101000020E6100000975BA13F257852C0D06EC86348694440,209,8
X007,10,X,P.S. 7,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000886585C2F67952C0A8B5185FD6704440,208,10
X007,10,X,P.S. 7,Roofs,sca_cp_added_projects,0101000020E6100000886585C2F67952C0A8B5185FD6704440,208,10
X007,10,X,P.S. 7,Electrical Systems,sca_cp_added_projects,0101000020E6100000886585C2F67952C0A8B5185FD6704440,208,10
X069,8,X,P.S. 69,Classroom Connectivity,sca_cp_added_projects,0101000020E6100000CED3F561117752C09A673D9C89684440,209,8
X069,8,X,P.S. 69,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000CED3F561117752C09A673D9C89684440,209,8
X070,9,X,P.S. 70,Parapets,sca_cp_added_projects,0101000020E61000007DDB5AD21D7A52C0A8C5D8EA0F6C4440,204,9
X070,9,X,P.S. 70,Roofs,sca_cp_added_projects,0101000020E61000007DDB5AD21D7A52C0A8C5D8EA0F6C4440,204,9
X722,75X,X,P.S. 721 (OTC),Flood Elimination,sca_cp_added_projects,0101000020E610000059DFCE75B37552C0BF7CE636DE6B4440,211,11
X722,75X,X,P.S. 721 (OTC),Parapets,sca_cp_added_projects,0101000020E610000059DFCE75B37552C0BF7CE636DE6B4440,211,11
X722,75X,X,P.S. 721 (OTC),Roofs,sca_cp_added_projects,0101000020E610000059DFCE75B37552C0BF7CE636DE6B4440,211,11
X722,75X,X,P.S. 721 (OTC),Windows,sca_cp_added_projects,0101000020E610000059DFCE75B37552C0BF7CE636DE6B4440,211,11
X722,75X,X,P.S. 721 (OTC),Exterior Masonry,sca_cp_added_projects,0101000020E610000059DFCE75B37552C0BF7CE636DE6B4440,211,11
X137,10,X,I.S. 391 (UDC),IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000622E87576E7952C09F8761905C6D4440,205,10
X137,10,X,I.S. 391 (UDC),Accessibility,sca_cp_added_projects,0101000020E6100000622E87576E7952C09F8761905C6D4440,205,10
X229,9,X,P.S. 230/I.S. 229 (UDC),Low-Voltage Electrical Systems,sca_cp_added_projects,0101000020E6100000328A9903FD7A52C0FFD177610F6D4440,205,9
X229,9,X,P.S. 230/I.S. 229 (UDC),Lighting Fixtures,sca_cp_added_projects,0101000020E6100000328A9903FD7A52C0FFD177610F6D4440,205,9
X229,9,X,P.S. 230/I.S. 229 (UDC),Domestic Piping,sca_cp_added_projects,0101000020E6100000328A9903FD7A52C0FFD177610F6D4440,205,9
X057,12,X,P.S. 57,Classroom Connectivity,sca_cp_added_projects,0101000020E61000006EA6A9FEE47852C092DD5109A46C4440,206,12
X057,12,X,P.S. 57,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000006EA6A9FEE47852C092DD5109A46C4440,206,12
X057,12,X,P.S. 57,Student Toilets,sca_cp_added_projects,0101000020E61000006EA6A9FEE47852C092DD5109A46C4440,206,12
X129,12,X,I.S. 129 (PAIRED W P234),Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000903C0B05C07852C024FEC9014E6C4440,206,12
X129,12,X,I.S. 129 (PAIRED W P234),Classroom Connectivity,sca_cp_added_projects,0101000020E6100000903C0B05C07852C024FEC9014E6C4440,206,12
X129,12,X,I.S. 129 (PAIRED W P234),Kitchen Areas,sca_cp_advanced_projects,0101000020E6100000903C0B05C07852C024FEC9014E6C4440,206,12
X129,12,X,I.S. 129 (PAIRED W P234),Cafeteria / Multipurpose Room Upgrade,sca_cp_added_projects,0101000020E6100000903C0B05C07852C024FEC9014E6C4440,206,12
X129,12,X,I.S. 129 (PAIRED W P234),Accessibility,sca_cp_added_projects,0101000020E6100000903C0B05C07852C024FEC9014E6C4440,206,12
X089,11,X,P.S. 89,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000CDE831FFFD7652C087A558BD656E4440,211,11
X089,11,X,P.S. 89,Flood Elimination,sca_cp_added_projects,0101000020E6100000CDE831FFFD7652C087A558BD656E4440,211,11
X089,11,X,P.S. 89,Electrical Systems,sca_cp_added_projects,0101000020E6100000CDE831FFFD7652C087A558BD656E4440,211,11
X089,11,X,P.S. 89,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000CDE831FFFD7652C087A558BD656E4440,211,11
X089,11,X,P.S. 89,Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000CDE831FFFD7652C087A558BD656E4440,211,11
X116,12,X,I.S. 216,Electrical Systems,sca_cp_added_projects,0101000020E6100000E16765B63D7952C09E414C9936694440,202,12
X122,10,X,P.S. 310,Lighting Fixtures,sca_cp_added_projects,0101000020E610000015C2DFE3F47952C0AC93A53BA86F4440,207,10
X122,10,X,P.S. 310,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000015C2DFE3F47952C0AC93A53BA86F4440,207,10
X044,12,X,P.S. 44,Roofs,sca_cp_added_projects,0101000020E6100000F76FFA93077952C0961DA12AD96B4440,206,12
X044,12,X,P.S. 44,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000F76FFA93077952C0961DA12AD96B4440,206,12
X044,12,X,P.S. 44,Parapets,sca_cp_added_projects,0101000020E6100000F76FFA93077952C0961DA12AD96B4440,206,12
X046,10,X,P.S. 46 ADDITION,Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000002BBB0B5AFC7852C047B3334EFF6E4440,207,10
X046,10,X,P.S. 46,Student Toilets,sca_cp_added_projects,0101000020E61000002BBB0B5AFC7852C047B3334EFF6E4440,207,10
X205,10,X,P.S. 205A (ECF),New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E610000008EAC42A6D7852C0FDE95A438B6D4440,206,10
X111,11,X,P.S. 111,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000D9245995B77552C0FADA446235714440,212,11
X111,11,X,P.S. 111,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000D9245995B77552C0FADA446235714440,212,11
X004,9,X,P.S. 4,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000ECA92FE5777952C0B14C1BF4BE6B4440,203,9
X004,9,X,P.S. 4,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000ECA92FE5777952C0B14C1BF4BE6B4440,203,9
X004,9,X,P.S. 4,Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000ECA92FE5777952C0B14C1BF4BE6B4440,203,9
X004,9,X,P.S. 4,Electrical Systems,sca_cp_added_projects,0101000020E6100000ECA92FE5777952C0B14C1BF4BE6B4440,203,9
X193,12,X,P.S. 211,Lighting Fixtures,sca_cp_added_projects,0101000020E61000003449F782F77852C0D4D3F94C036C4440,206,12
X193,12,X,P.S. 211,Accessibility,sca_cp_added_projects,0101000020E61000003449F782F77852C0D4D3F94C036C4440,206,12
X184,7,X,I.S. 184,Electrical Systems,sca_cp_added_projects,0101000020E6100000F7E071EBF17952C032017494CB684440,201,7
X184,7,X,I.S. 184,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000F7E071EBF17952C032017494CB684440,201,7
X184,7,X,I.S. 184,Student Toilets,sca_cp_added_projects,0101000020E6100000F7E071EBF17952C032017494CB684440,201,7
X184,7,X,I.S. 184,Student Toilets,sca_cp_added_projects,0101000020E6100000F7E071EBF17952C032017494CB684440,201,7
X081,10,X,P.S. 81,Student Toilets,sca_cp_added_projects,0101000020E6100000FBAFAF92E57952C03A4446A99F734440,208,10
X081,10,X,P.S. 81,Exterior Masonry,sca_cp_added_projects,0101000020E6100000FBAFAF92E57952C03A4446A99F734440,208,10
X081,10,X,P.S. 81,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000FBAFAF92E57952C03A4446A99F734440,208,10
X081,10,X,P.S. 81,Flood Elimination,sca_cp_added_projects,0101000020E6100000FBAFAF92E57952C03A4446A99F734440,208,10
X081,10,X,P.S. 81,Roofs,sca_cp_added_projects,0101000020E6100000FBAFAF92E57952C03A4446A99F734440,208,10
X701,75X,X,P.S. 723,Ventilation,sca_cp_added_projects,0101000020E610000090CEAD40427552C0C498750804714440,212,11
X136,75X,X,P.S. 186 (OLD J136),Exterior Masonry,sca_cp_added_projects,0101000020E61000002FF86CB1757952C0F74B024F6B6A4440,203,12
X136,75X,X,P.S. 186 (OLD J136),Flood Elimination,sca_cp_added_projects,0101000020E61000002FF86CB1757952C0F74B024F6B6A4440,203,12
X136,75X,X,P.S. 186 (OLD J136),Student Toilets,sca_cp_added_projects,0101000020E61000002FF86CB1757952C0F74B024F6B6A4440,203,12
